kod,рЕЙСЫХИ ЛЕЯЪЖ,prev sells,prev-1 sells,prev-2 sells,prev-3 sells,prev-4 sells,prev-5 sells,prev-6 sells,prev-7 sells,prev-8 sells,prev-9 sells,prev-10 sells,prev-11 sells,prev-12 sells,prev-13 sells,prev-14 sells,prev-15 sells,prev-16 sells,prev-17 sells,prev-18 sells,oldest sells,гЮ ЦНД
жа014257   ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014260   ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014262   ,0,0,1,3,0,0,0,1,0,0,0,1,1,0,2,1,0,1,0,1,1,7
жа014263   ,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
жа014264   ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014265   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
жа014266   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014267   ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014283   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014284   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014285   ,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,2,0,4
жа014286   ,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,8
жа014287   ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
жа014288   ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
жа014289   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014294   ,0,0,2,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,5
жа014297   ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
жа014299   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014318   ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
жа014321   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
жа014322   ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014326   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
жа014336   ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,2
жа014337   ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
жа014338   ,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3
жа014339   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
жа014347   ,4,2,0,0,0,0,2,0,0,4,0,0,2,2,2,0,3,0,0,0,0,12
жа014348   ,0,1,1,0,1,0,0,0,1,1,2,3,1,1,2,0,0,1,0,1,0,12
жа014349   ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
жа014355   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
жа014358   ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014360   ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
