kod,tsenazakup,tsenarozn
00003904,12.7,30.0
00003905,744.0,1000.0
00003906,1109.0,2010.0
00003907,594.94,930.0
00003908,424.0,680.0
00003910,904.59,1540.0
00003911,3249.9,5860.0
00003912,3980.2,6720.0
00003913,311.24,500.0
00003914,1094.0,1670.0
00003915,144.85,290.0
00003916,363.02,580.0
00003917,563.0,860.0
00003918,2787.64,4100.0
00003919,583.17,900.0
00003920,1804.0,2510.0
00003921,1219.0,1870.0
00003922,160.55,300.0
00003923,4147.05,5950.0
00003925,61.2,125.0
00003926,276.0,700.0
