kod;artikul;proizvoditel;edizm;datasozdanija;roditel;osnsklad;zakazy_sklad;tsenazakup;tsenarozn;gruppa_analogov;type_detail
00003077;-;0;компл;2022-03-11;Шатунно-поршневая группа;0;0;15000.0;25000.0;;гильзы
00003078;-;0;компл;2022-03-11;Шатунно-поршневая группа;0;0;6838.92;15000.0;;гильзы
00003079;5553038010;Yulim;шт;2022-03-14;Задняя подвеска;11;0;176.0;765.0;DUJLYOWP42;линк поперечного стабилизатора задний
00003080;311808D050;HyundaiKia;шт;2022-03-14;Отделка;2;0;1295.0;3680.0;QOMHCDZI29;крышка топливного бака
00003081;UDW9N60760;Ukorauto;компл;2022-03-14;Коробка передач;0;0;735.3;1250.0;1LUSPL8FE9;кулиса переключения передач
00003082;548304A803;DOOHAP;шт;2022-03-14;Передняя подвеска;13;0;175.0;900.0;0SH0E7RTOW;линк поперечного стабилизатора передний
00003083;E410425;Miles;компл;2022-03-14;Тормозная система;0;0;1482.0;1930.0;VITM2X7MVW;колодки тормозные задний
00003084;00003084;Лукойл;шт;2022-03-14;Масла и тех. жидкости;0;0;2495.0;3950.0;;масло моторное
00003085;00003085;Лукойл;шт;2022-03-14;Масла и тех. жидкости;0;0;918.0;1150.0;;масло моторное
00003086;00003086;Лукойл;шт;2022-03-14;Масла и тех. жидкости;0;0;2022.0;3650.0;;масло моторное
00003087;-;FELIX;шт;2022-03-14;Масла и тех. жидкости;0;0;220.0;380.0;;антифриз
00003088;-;FELIX;шт;2022-03-14;Масла и тех. жидкости;0;0;978.0;1620.0;;антифриз
00003089;-;FELIX;шт;2022-03-14;Масла и тех. жидкости;9;0;247.0;420.0;;антифриз
00003090;-;FELIX;шт;2022-03-14;Масла и тех. жидкости;15;0;1027.0;1700.0;;антифриз
00003092;PSA534002;Patron;шт;2022-03-15;Задняя подвеска;0;0;1088.61;3120.0;ETADASAF6R;амортизатор задний
00003093;PSA349085;Patron;шт;2022-03-15;Задняя подвеска;0;0;2435.45;2010.0;5SN28AWI26;амортизатор задний
00003094;PSE20822;Patron;шт;2022-03-15;Передняя подвеска;4;0;144.47;220.0;0EIXV2G8ZM;втулка поперечного стабилизатора передний
00003095;PBD1754;Patron;шт;2022-03-15;Тормозная система;0;0;2042.32;2660.0;DMXXERK50L;диск тормозной задний
00003097;PS4621;Patron;шт;2022-03-15;Передняя подвеска;2;0;908.36;1180.0;VKRIHXKWY8;линк поперечного стабилизатора передний
00003098;-;0;шт;2022-03-15;Расходные материалы для сервиса;0;0;75.0;75.0;;изолента
00003099;-;0;шт;2022-03-15;Расходные материалы для сервиса;0;0;330.0;330.0;;моющее средство
00003100;PS4336LKOR;Patron;шт;2022-03-15;Задняя подвеска;5;0;839.09;1090.0;IVNI5QHUN9;линк поперечного стабилизатора задний
00003101;-;0;шт;2022-03-15;Расходные материалы для сервиса;3;0;688.0;688.0;;инструмент
00003102;-;0;шт;2022-03-15;Расходные материалы для сервиса;0;0;24.5;24.5;;перчатки
00003103;-;0;шт;2022-03-15;Расходные материалы для сервиса;0;0;0.0;0.0;;ветошь
00003105;PS4336RKOR;Patron;шт;2022-03-15;Задняя подвеска;5;0;839.09;1090.0;5AAX5VSRL1;линк поперечного стабилизатора задний
00003106;PS4253;Patron;шт;2022-03-15;Задняя подвеска;4;0;682.75;890.0;JACBNMVSQX;линк поперечного стабилизатора задний
00003107;PS1193;Patron;шт;2022-03-15;Рулевое управление;0;0;637.5;830.0;5HKL5GB7NL;наконечник рулевой
00003108;PWP1371;Patron;шт;2022-03-15;Система охлаждения;0;0;2489.2;3240.0;Q680YGSVVU;помпа
00003109;PS2407KOR;Patron;шт;2022-03-15;Рулевое управление;2;0;939.58;1220.0;4IU11DK3DA;тяга рулевой рейки
00003110;PS3137;Patron;шт;2022-03-15;Передняя подвеска;7;0;733.22;950.0;GA4UJFDXT7;шаровая опора рычага
00003111;-;0;шт;2022-03-15;Расходные материалы для сервиса;0;0;108.0;108.0;;обезжириватель
00003112;-;0;шт;2022-03-15;Нераспределено;0;0;37.0;100.0;;уплкольцо
00003113;94792628;Eagleye;шт;2022-03-15;Фары, фонари, поворотники;1;0;525.0;1500.0;PF94UK1RT5;лампафара дальний свет конт
00003114;94792628n;Noname;шт;2022-03-15;Фары, фонари, поворотники;2;0;525.0;1500.0;PF94UK1RT5;лампафара дальний свет конт
