,kod,data,kolichestvo
612,ЦБ001761,2022-02-22 14:47:15,2
619,ЦБ014955,2022-02-24 12:50:54,2
620,ЦБ023583,2022-02-14 15:18:01,1
622,ЦБ018995,2022-02-15 16:18:07,2
623,ЦБ005926,2022-02-15 16:18:07,2
625,ЦБ004961,2022-02-15 16:18:07,1
626,ЦБ003474,2022-02-15 16:18:07,1
627,ЦБ009283,2022-02-07 17:09:24,3
628,ЦБ002373,2022-02-15 16:18:07,1
629,ЦБ022348,2022-02-15 16:18:07,3
631,ЦБ014598,2022-02-15 16:20:54,4
634,ЦБ020738,2022-02-22 15:53:11,2
636,ЦБ022658,2022-03-02 11:52:09,1
637,ЦБ018742,2022-01-28 16:27:48,5
642,ЦБ019146,2022-01-28 16:28:55,2
643,ЦБ018431,2022-01-28 16:28:55,4
644,ЦБ005602,2022-01-28 16:28:55,3
645,ЦБ005933,2022-01-28 16:28:55,2
646,ЦБ017721,2022-01-28 16:28:55,1
647,ЦБ019516,2022-01-28 16:28:55,3
648,ЦБ021038,2022-01-28 16:28:55,1
651,ЦБ018277,2022-01-28 16:28:55,2
652,00002910,2022-01-28 16:28:55,2
653,ЦБ010536,2022-01-28 16:28:55,5
654,00002925,2022-01-28 16:28:55,12
655,00002933,2022-01-28 16:28:55,2
656,ЦБ001559,2022-01-28 16:28:55,45
657,ЦБ012747,2022-03-02 11:52:09,24
658,ЦБ003518,2022-03-02 11:52:09,40
660,ЦБ021703,2022-02-15 16:19:53,1
662,00002899,2022-02-15 16:19:53,2
663,ЦБ012194,2022-03-30 14:05:17,2
664,ЦБ021117,2022-02-07 12:51:52,2
666,ЦБ014828,2022-02-07 12:51:52,2
667,ЦБ019007,2022-02-07 12:51:52,2
669,ЦБ020722,2022-02-07 12:51:52,2
670,ЦБ002069,2022-02-15 11:46:10,1
671,ЦБ018971,2022-02-15 16:19:53,2
676,ЦБ001976,2022-02-02 14:07:27,18
677,00002919,2022-02-02 14:07:27,8
682,ЦБ011214,2022-02-02 14:07:27,1
683,ЦБ006882,2022-02-02 14:07:27,1
684,ЦБ015539,2022-02-02 14:07:27,1
685,ЦБ015678,2022-02-02 14:07:27,3
686,ЦБ009492,2022-02-02 14:07:27,2
688,ЦБ006274,2022-02-02 14:07:27,3
689,ЦБ013316,2022-02-02 14:07:27,20
692,ЦБ021419,2022-02-15 16:19:53,3
693,ЦБ002618,2022-02-15 16:19:53,1
694,ЦБ018839,2022-02-25 17:04:06,2
697,ЦБ021832,2022-02-02 15:28:22,1
698,ЦБ021276,2022-02-02 15:28:22,2
700,ЦБ020705,2022-02-07 12:51:52,1
702,00002927,2022-02-07 12:51:52,8
704,ЦБ022498,2022-02-25 17:04:06,2
705,ЦБ010233,2022-02-04 10:42:37,1
706,ЦБ021298,2022-02-03 16:03:03,2
707,ЦБ021299,2022-02-03 16:03:03,2
708,ЦБ021460,2022-02-03 16:03:03,1
709,ЦБ021461,2022-02-03 16:03:03,1
711,ЦБ002753,2022-02-03 16:03:03,1
713,ЦБ021419,2022-02-03 16:03:03,1
714,ЦБ010781,2022-02-03 16:03:03,2
715,ЦБ011125,2022-02-03 16:03:03,4
716,ЦБ022366,2022-02-03 16:03:03,2
719,ЦБ016083,2022-02-02 15:29:34,2
720,ЦБ002750,2022-02-02 15:29:34,8
721,ЦБ021543,2022-02-02 15:29:34,1
723,ЦБ000668,2022-02-07 12:52:29,1
724,ЦБ006401,2022-02-07 12:52:29,32
725,ЦБ020811,2022-02-07 12:52:29,2
726,ЦБ007953,2022-02-07 12:52:29,12
727,ЦБ008889,2022-02-07 12:52:29,2
729,ЦБ022046,2022-02-07 12:52:29,1
730,ЦБ014686,2022-02-07 12:52:29,1
731,ЦБ021563,2022-02-07 12:52:29,2
733,ЦБ021543,2022-01-31 15:17:49,1
734,ЦБ005815,2022-01-31 15:18:18,2
735,ЦБ017143,2022-01-31 16:27:27,5
737,ЦБ021946,2022-02-02 15:29:34,4
738,ЦБ002286,2022-02-08 14:14:21,2
740,ЦБ010334,2022-02-08 14:14:21,1
744,ЦБ020734,2022-01-31 16:27:27,1
745,ЦБ015985,2022-01-31 16:27:27,5
746,ЦБ003582,2022-01-31 16:27:27,10
747,ЦБ010726,2022-01-31 16:27:33,1
748,ЦБ010914,2022-02-15 11:54:33,1
750,ЦБ002811,2022-02-15 11:54:33,2
751,ЦБ022516,2022-02-07 12:50:57,1
753,ЦБ018121,2022-02-07 12:50:57,4
755,ЦБ004404,2022-02-15 16:20:54,2
756,ЦБ023010,2022-02-25 17:04:06,1
758,ЦБ005646,2022-02-25 17:04:06,8
759,ЦБ005665,2022-02-25 17:04:06,10
760,ЦБ004292,2022-02-25 17:04:06,2
761,ЦБ004293,2022-02-25 17:04:06,2
762,ЦБ017859,2022-02-25 17:04:06,1
763,ЦБ003054,2022-02-25 17:04:06,1
764,ЦБ023182,2022-02-25 17:04:06,2
766,ЦБ006569,2022-02-01 17:09:01,3
767,ЦБ011198,2022-02-01 17:09:01,2
768,ЦБ019198,2022-02-01 17:09:01,5
769,ЦБ019590,2022-02-01 17:09:01,20
771,ЦБ022794,2022-02-01 17:09:01,1
773,ЦБ014536,2022-02-01 17:09:01,2
775,ЦБ006625,2022-02-01 17:09:01,1
777,ЦБ018017,2022-02-01 17:09:01,2
778,ЦБ011792,2022-02-01 17:09:01,2
779,ЦБ005150,2022-02-01 17:09:01,4
780,ЦБ011215,2022-02-01 17:09:01,1
781,ЦБ005147,2022-02-01 17:09:01,2
784,ЦБ002105,2022-02-01 17:09:01,1
786,ЦБ009140,2022-02-01 17:09:01,4
787,ЦБ020479,2022-02-01 17:09:01,1
791,ЦБ009655,2022-02-01 17:09:01,30
792,ЦБ007514,2022-02-01 17:09:01,2
794,ЦБ017956,2022-02-01 17:09:01,60
796,ЦБ018228,2022-02-01 17:09:01,2
797,ЦБ010174,2022-02-01 17:10:52,1
799,ЦБ012880,2022-02-25 17:04:06,1
800,ЦБ003354,2022-02-25 17:04:06,7
801,ЦБ011878,2022-02-25 17:04:06,6
802,00003034,2022-02-25 17:04:06,2
803,ЦБ011091,2022-02-07 17:06:34,20
804,ЦБ002058,2022-02-07 17:06:34,1
805,ЦБ022320,2022-02-07 17:06:34,1
